Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Document Type,Source
"Sari M., Prange A., Lelley J.I., Hambitzer R.","Screening of beta-glucan contents in commercially cultivated and wild growing mushrooms",2017,"Food Chemistry","216",,,"45","51",,,10.1016/j.foodchem.2016.08.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981244097&partnerID=40&md5=79c285356ed8fe01f113f7555ac29ad0","Competence Center for Applied Mycology and Environmental Studies, Niederrhein University of Applied Sciences, Rheydter Str. 277, Mönchengladbach, Germany; Institute for Virology and Microbiology, University of Witten/Herdecke, Stockumer Strasse 10, Witten, Germany; Center for Advanced Microstructures and Devices (CAMD), Louisiana State University, 6980 Jefferson Highway, Baton Rouge, LA, United States; GAMU GmbH, Hüttenallee 241, Krefeld, Germany","Sari, M., Competence Center for Applied Mycology and Environmental Studies, Niederrhein University of Applied Sciences, Rheydter Str. 277, Mönchengladbach, Germany, Institute for Virology and Microbiology, University of Witten/Herdecke, Stockumer Strasse 10, Witten, Germany; Prange, A., Competence Center for Applied Mycology and Environmental Studies, Niederrhein University of Applied Sciences, Rheydter Str. 277, Mönchengladbach, Germany, Institute for Virology and Microbiology, University of Witten/Herdecke, Stockumer Strasse 10, Witten, Germany, Center for Advanced Microstructures and Devices (CAMD), Louisiana State University, 6980 Jefferson Highway, Baton Rouge, LA, United States; Lelley, J.I., Competence Center for Applied Mycology and Environmental Studies, Niederrhein University of Applied Sciences, Rheydter Str. 277, Mönchengladbach, Germany, GAMU GmbH, Hüttenallee 241, Krefeld, Germany; Hambitzer, R., Competence Center for Applied Mycology and Environmental Studies, Niederrhein University of Applied Sciences, Rheydter Str. 277, Mönchengladbach, Germany","Sari, M.; Competence Center for Applied Mycology and Environmental Studies, Niederrhein University of Applied Sciences, Rheydter Str. 277, Germany; email: Miriam.Sari@hsnr.de",Article,Scopus
"Fang S., Lam E.S.-S., Wong W.-Y.","Using alkali-activated slag ferrocement to strengthen corroded reinforced concrete columns",2017,"Materials and Structures/Materiaux et Constructions","50","1", 35,"","",,,10.1617/s11527-016-0915-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981736572&partnerID=40&md5=de68e0a4fdae311decccb2e631db2198","Department of Civil & Environmental Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong","Fang, S., Department of Civil & Environmental Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong; Lam, E.S.-S., Department of Civil & Environmental Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong; Wong, W.-Y., Department of Civil & Environmental Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong","Lam, E.S.-S.; Department of Civil & Environmental Engineering, The Hong Kong Polytechnic UniversityHong Kong; email: cesslam@polyu.edu.hk",Article,Scopus
"Zhang Y., Du X., Salman M.","Battery state estimation with a self-evolving electrochemical ageing model",2017,"International Journal of Electrical Power and Energy Systems","85",,,"178","189",,,10.1016/j.ijepes.2016.09.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988955549&partnerID=40&md5=e940af5b90f14fd3c95c3f06a0d86efa","Vehicle Systems Research Laboratory, General Motors, 30500 Mound Road, Warren, MI, United States","Zhang, Y., Vehicle Systems Research Laboratory, General Motors, 30500 Mound Road, Warren, MI, United States; Du, X., Vehicle Systems Research Laboratory, General Motors, 30500 Mound Road, Warren, MI, United States; Salman, M., Vehicle Systems Research Laboratory, General Motors, 30500 Mound Road, Warren, MI, United States","Du, X.; Vehicle Systems Research Laboratory, General Motors, 30500 Mound Road, United States; email: xinyu.du@gm.com",Article,Scopus
"Thapar S., Sharma S., Verma A.","Local community as shareholders in clean energy projects: Innovative strategy for accelerating renewable energy deployment in India",2017,"Renewable Energy","101",,,"873","885",,,10.1016/j.renene.2016.09.048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988874398&partnerID=40&md5=7070dd07feb13c7e84200f935c1e15ac","Department of Management Studies, Indian Institute of Technology, New Delhi, India; Center for Energy Studies, Indian Institute of Technology, New Delhi, India","Thapar, S., Department of Management Studies, Indian Institute of Technology, New Delhi, India; Sharma, S., Department of Management Studies, Indian Institute of Technology, New Delhi, India; Verma, A., Center for Energy Studies, Indian Institute of Technology, New Delhi, India","Thapar, S.; Department of Management Studies, Indian Institute of TechnologyIndia; email: sapan.thapar@yahoo.co.in",Article,Scopus
"Ye W., Fan S.","Evolutionary snowdrift game with rational selection based on radical evaluation",2017,"Applied Mathematics and Computation","294",,,"310","317",,,10.1016/j.amc.2016.09.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988969722&partnerID=40&md5=aa664957baa74f0c8afd5a2e1b8a612a","School of Information Science and Technology, Jinan University, Guangzhou, China","Ye, W., School of Information Science and Technology, Jinan University, Guangzhou, China; Fan, S., School of Information Science and Technology, Jinan University, Guangzhou, China","Fan, S.; School of Information Science and Technology, Jinan UniversityChina; email: tfsh@jnu.edu.cn",Article,Scopus
"Conidi C., Cassano A., Caiazzo F., Drioli E.","Separation and purification of phenolic compounds from pomegranate juice by ultrafiltration and nanofiltration membranes",2017,"Journal of Food Engineering","195",,,"1","13",,,10.1016/j.jfoodeng.2016.09.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988531227&partnerID=40&md5=b1b5a75e2640eef7471138de4a52ff9f","Institute on Membrane Technology, National Research Council, ITM-CNR, University of Calabria, Via P. Bucci, 17/C, Rende, Cosenza, Italy","Conidi, C., Institute on Membrane Technology, National Research Council, ITM-CNR, University of Calabria, Via P. Bucci, 17/C, Rende, Cosenza, Italy; Cassano, A., Institute on Membrane Technology, National Research Council, ITM-CNR, University of Calabria, Via P. Bucci, 17/C, Rende, Cosenza, Italy; Caiazzo, F., Institute on Membrane Technology, National Research Council, ITM-CNR, University of Calabria, Via P. Bucci, 17/C, Rende, Cosenza, Italy; Drioli, E., Institute on Membrane Technology, National Research Council, ITM-CNR, University of Calabria, Via P. Bucci, 17/C, Rende, Cosenza, Italy","Cassano, A.; Institute on Membrane Technology, National Research Council, ITM-CNR, University of Calabria, Via P. Bucci, 17/C, Italy; email: a.cassano@itm.cnr.it",Article,Scopus
"Bingol K., Brüschweiler R.","Knowns and unknowns in metabolomics identified by multidimensional NMR and hybrid MS/NMR methods",2017,"Current Opinion in Biotechnology","43",,,"17","24",,,10.1016/j.copbio.2016.07.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982299396&partnerID=40&md5=7a11e067fda1cf347016d1da7db6b416","Environmental Molecular Sciences Laboratory, Pacific Northwest National Laboratory, Richland, WA, United States; Campus Chemical Instrument Center, The Ohio State University, Columbus, OH, United States; Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, United States; Department of Biological Chemistry and Pharmacology, The Ohio State University, Columbus, OH, United States","Bingol, K., Environmental Molecular Sciences Laboratory, Pacific Northwest National Laboratory, Richland, WA, United States; Brüschweiler, R., Campus Chemical Instrument Center, The Ohio State University, Columbus, OH, United States, Department of Chemistry and Biochemistry, The Ohio State University, Columbus, OH, United States, Department of Biological Chemistry and Pharmacology, The Ohio State University, Columbus, OH, United States",,Review,Scopus
"Muñoz-Sánchez B., Arévalo-Caballero M.J., Pacheco-Menor M.C.","Influence of acetic acid and calcium hydroxide treatments of rubber waste on the properties of rubberized mortars",2017,"Materials and Structures/Materiaux et Constructions","50","1", 75,"","",,,10.1617/s11527-016-0912-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988838377&partnerID=40&md5=6d3f274f8703f110839e1475d8829d75","Tecnalia, Technological Park of San Sebastian, Mikeletegi Pasealekua, 2, Donostia-San Sebastián, Gipuzkoa, Spain; Department of Organic and Inorganic Chemistry, Polytechnic School, University of Extremadura, Avda. de la Universidad, s/n, Cáceres, Spain; Ornamental Stone, Products & Construction Works Department (INTROMAC), Campus Universitario, s/n, POB 135, Cáceres, Spain","Muñoz-Sánchez, B., Tecnalia, Technological Park of San Sebastian, Mikeletegi Pasealekua, 2, Donostia-San Sebastián, Gipuzkoa, Spain; Arévalo-Caballero, M.J., Department of Organic and Inorganic Chemistry, Polytechnic School, University of Extremadura, Avda. de la Universidad, s/n, Cáceres, Spain; Pacheco-Menor, M.C., Ornamental Stone, Products & Construction Works Department (INTROMAC), Campus Universitario, s/n, POB 135, Cáceres, Spain","Pacheco-Menor, M.C.; Ornamental Stone, Products & Construction Works Department (INTROMAC), Campus Universitario, s/n, POB 135, Spain; email: cpacheco@intromac.com",Article,Scopus
"Castel V., Rubiolo A.C., Carrara C.R.","Droplet size distribution, rheological behavior and stability of corn oil emulsions stabilized by a novel hydrocolloid (Brea gum) compared with gum arabic",2017,"Food Hydrocolloids","63",,,"170","177",,,10.1016/j.foodhyd.2016.08.039,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984855454&partnerID=40&md5=b0e740d57de6d4636fca9b4147a3275c","Instituto de Tecnología de Alimentos, Facultad de Ingeniería Química, Universidad Nacional del Litoral, Santa Fe, Argentina","Castel, V., Instituto de Tecnología de Alimentos, Facultad de Ingeniería Química, Universidad Nacional del Litoral, Santa Fe, Argentina; Rubiolo, A.C., Instituto de Tecnología de Alimentos, Facultad de Ingeniería Química, Universidad Nacional del Litoral, Santa Fe, Argentina; Carrara, C.R., Instituto de Tecnología de Alimentos, Facultad de Ingeniería Química, Universidad Nacional del Litoral, Santa Fe, Argentina","Castel, V.1 de mayo 3250, Argentina; email: virginiacas@hotmail.com",Article,Scopus
"Luo X., Wang Q.","Existence and asymptotic behavior of high energy normalized solutions for the Kirchhoff type equations in ℝ3",2017,"Nonlinear Analysis: Real World Applications","33",,,"19","32",,,10.1016/j.nonrwa.2016.06.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975801913&partnerID=40&md5=da511c5a53b048a8f0a1ac0bc61a8122","School of Mathematics and Statistics, Central China Normal University, Wuhan, China; School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, China","Luo, X., School of Mathematics and Statistics, Central China Normal University, Wuhan, China; Wang, Q., School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, China","Wang, Q.; School of Mathematics and Computer Science, Wuhan Polytechnic UniversityChina; email: hbwangqingfang@163.com",Article,Scopus
"Wang P., Dong Z.-J., Tan Y.-Q., Liu Z.-Y.","Effect of multi-walled carbon nanotubes on the performance of styrene–butadiene–styrene copolymer modified asphalt",2017,"Materials and Structures/Materiaux et Constructions","50","1", 17,"","",,,10.1617/s11527-016-0890-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981727697&partnerID=40&md5=8a58398aafb4da4ccce7a5631b98818b","School of Transportation Science and Engineering, Harbin Institute of Technology, Huanghe Road 73#, Nangang District, Harbin, Heilongjiang, China; School of Transportation Engineering, Shandong Jianzhu University, Fengming Road 1000#, Lingang Developing District, Jinan, Shandong, China","Wang, P., School of Transportation Science and Engineering, Harbin Institute of Technology, Huanghe Road 73#, Nangang District, Harbin, Heilongjiang, China, School of Transportation Engineering, Shandong Jianzhu University, Fengming Road 1000#, Lingang Developing District, Jinan, Shandong, China; Dong, Z.-J., School of Transportation Science and Engineering, Harbin Institute of Technology, Huanghe Road 73#, Nangang District, Harbin, Heilongjiang, China; Tan, Y.-Q., School of Transportation Science and Engineering, Harbin Institute of Technology, Huanghe Road 73#, Nangang District, Harbin, Heilongjiang, China; Liu, Z.-Y., School of Transportation Science and Engineering, Harbin Institute of Technology, Huanghe Road 73#, Nangang District, Harbin, Heilongjiang, China","Dong, Z.-J.; School of Transportation Science and Engineering, Harbin Institute of Technology, Huanghe Road 73#, Nangang District, China; email: hitdzj@hit.edu.cn",Article,Scopus
"Long J.M., Stewart D.R., Shiflet J., Balsman D., Shoup D.E.","Bait type influences on catch and bycatch in tandem hoop nets set in reservoirs",2017,"Fisheries Research","186",,,"102","108",,,10.1016/j.fishres.2016.08.014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983398184&partnerID=40&md5=739adb0bd1abfb9922bc8ed2cffa363d","U.S. Geological Survey, Oklahoma Cooperative Fish and Wildlife Research Unit, Department of Natural Resource Ecology and Management, 007 Agriculture Hall, Oklahoma State University, Stillwater, OK, United States; U.S. Fish and Wildlife Service, Division of Biological Sciences, National Wildlife Refuge System, Post Office Box 1306, Albuquerque, NM, United States; Kentucky Department of Fish and Wildlife Resources, 1398 Highway 81 N., Calhoun, KY, United States; Kentucky Department of Fish and Wildlife Resources, 1 Sportsman's Lane, Frankfort, KY, United States; Department of Natural Resource Ecology and Management, Oklahoma State University, 008 Ag Hall, Stillwater, OK, United States","Long, J.M., U.S. Geological Survey, Oklahoma Cooperative Fish and Wildlife Research Unit, Department of Natural Resource Ecology and Management, 007 Agriculture Hall, Oklahoma State University, Stillwater, OK, United States; Stewart, D.R., U.S. Fish and Wildlife Service, Division of Biological Sciences, National Wildlife Refuge System, Post Office Box 1306, Albuquerque, NM, United States; Shiflet, J., Kentucky Department of Fish and Wildlife Resources, 1398 Highway 81 N., Calhoun, KY, United States; Balsman, D., Kentucky Department of Fish and Wildlife Resources, 1 Sportsman's Lane, Frankfort, KY, United States; Shoup, D.E., Department of Natural Resource Ecology and Management, Oklahoma State University, 008 Ag Hall, Stillwater, OK, United States","Long, J.M.; U.S. Geological Survey, Oklahoma Cooperative Fish and Wildlife Research Unit, Department of Natural Resource Ecology and Management, 007 Agriculture Hall, Oklahoma State UniversityUnited States; email: longjm@okstate.edu",Article,Scopus
"Zhai S., Zhou Y., Li Q.","Synchronization for coupled nonlinear systems with disturbances in input and measured output",2017,"Applied Mathematics and Computation","294",,,"227","237",,,10.1016/j.amc.2016.09.020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988985253&partnerID=40&md5=c61ae4b1523ef3386e29cbed02561ce6","Research Center of Analysis and Control for Complex Systems, Key Laboratory of Industrial Internet of Things & Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China","Zhai, S., Research Center of Analysis and Control for Complex Systems, Key Laboratory of Industrial Internet of Things & Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China; Zhou, Y., Research Center of Analysis and Control for Complex Systems, Key Laboratory of Industrial Internet of Things & Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China; Li, Q., Research Center of Analysis and Control for Complex Systems, Key Laboratory of Industrial Internet of Things & Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China","Zhai, S.; Research Center of Analysis and Control for Complex Systems, Key Laboratory of Industrial Internet of Things & Networked Control, Ministry of Education, Chongqing University of Posts and TelecommunicationsChina; email: zhaisd@cqupt.edu.cn",Article,Scopus
"Dhunny A.Z., Lollchund M.R., Rughooputh S.D.D.V.","Wind energy evaluation for a highly complex terrain using Computational Fluid Dynamics (CFD)",2017,"Renewable Energy","101",,,"1","9",,,10.1016/j.renene.2016.08.032,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983487409&partnerID=40&md5=9ebfc220f33bd660358da245849432e4","Department of Physics, Faculty of Science, University of Mauritius, Mauritius","Dhunny, A.Z., Department of Physics, Faculty of Science, University of Mauritius, Mauritius; Lollchund, M.R., Department of Physics, Faculty of Science, University of Mauritius, Mauritius; Rughooputh, S.D.D.V., Department of Physics, Faculty of Science, University of Mauritius, Mauritius","Lollchund, M.R.; Department of Physics, Faculty of Science, University of MauritiusMauritius; email: r.lollchund@uom.ac.mu",Article,Scopus
"Gan C.L., Balakrishnan V.","Enhancing classroom interaction via IMMAP - An Interactive Mobile Messaging App",2017,"Telematics and Informatics","34","1",,"230","243",,,10.1016/j.tele.2016.05.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969174621&partnerID=40&md5=a0e9849f0f13818af829d84b5fdc2ba3","Department of Information Systems, University of Malaya, Kuala Lumpur, Malaysia; Faculty of Business, Multimedia University, Melaka, Malaysia","Gan, C.L., Department of Information Systems, University of Malaya, Kuala Lumpur, Malaysia, Faculty of Business, Multimedia University, Melaka, Malaysia; Balakrishnan, V., Department of Information Systems, University of Malaya, Kuala Lumpur, Malaysia","Gan, C.L.; Department of Information Systems, University of MalayaMalaysia; email: gchinlay@gmail.com",Article,Scopus
"Li Z., Liu Y., Yang X., Xing Y., Tsai C.-J., Meng M., Yang R.T.","Performance of mesoporous silicas and carbon in adsorptive removal of phenanthrene as a typical gaseous polycyclic aromatic hydrocarbon",2017,"Microporous and Mesoporous Materials","239",,,"9","18",,,10.1016/j.micromeso.2016.09.027,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988984611&partnerID=40&md5=4a0a88f0043dac9b6ef3233f9c9509e3","School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; School of Civil and Environmental Engineering, University of Science and Technology Beijing, Beijing, China; Institute of Environmental Engineering, National Chiao Tung University, University Road, Hsinchu, Taiwan; Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, United States","Li, Z., School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; Liu, Y., School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; Yang, X., School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; Xing, Y., School of Civil and Environmental Engineering, University of Science and Technology Beijing, Beijing, China; Tsai, C.-J., Institute of Environmental Engineering, National Chiao Tung University, University Road, Hsinchu, Taiwan; Meng, M., School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; Yang, R.T., Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, United States","Yang, X.; School of Mechanical Engineering, University of Science and Technology BeijingChina; email: yangx@ustb.edu.cn",Article,Scopus
"Huynh N., Arabian N., Naito A., Louie S., Jakowec M.W., Asatryan L., Davies D.L.","Preclinical development of moxidectin as a novel therapeutic for alcohol use disorder",2017,"Neuropharmacology","113",,,"60","70",,,10.1016/j.neuropharm.2016.09.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989184253&partnerID=40&md5=d8b1586f844d33cd1ae8636e0f4871af","Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States; Department of Neurology, Keck School of Medicine, University of Southern California, 1333 San Pablo Street, Los Angeles, CA, United States","Huynh, N., Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States; Arabian, N., Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States; Naito, A., Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States; Louie, S., Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States; Jakowec, M.W., Department of Neurology, Keck School of Medicine, University of Southern California, 1333 San Pablo Street, Los Angeles, CA, United States; Asatryan, L., Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States; Davies, D.L., Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, CA, United States","Davies, D.L.; Titus Family Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, United States; email: ddavies@usc.edu",Article,Scopus
"Gulhane M., Pandit P., Khardenavis A., Singh D., Purohit H.","Study of microbial community plasticity for anaerobic digestion of vegetable waste in Anaerobic Baffled Reactor",2017,"Renewable Energy","101",,,"59","66",,,10.1016/j.renene.2016.08.021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983546347&partnerID=40&md5=201d07c59845d1a5c502ea9d056eb416","Academy of Scientific and Innovative Research (AcSIR), CSIR-Environmental Biotechnology and Genomics Division, National Environmental Engineering Research Institute (CSIR-NEERI), Nehru Marg, Nagpur, India; Environmental Biotechnology and Genomics Division, CSIR-NEERI, Nagpur, India","Gulhane, M., Academy of Scientific and Innovative Research (AcSIR), CSIR-Environmental Biotechnology and Genomics Division, National Environmental Engineering Research Institute (CSIR-NEERI), Nehru Marg, Nagpur, India, Environmental Biotechnology and Genomics Division, CSIR-NEERI, Nagpur, India; Pandit, P., Environmental Biotechnology and Genomics Division, CSIR-NEERI, Nagpur, India; Khardenavis, A., Environmental Biotechnology and Genomics Division, CSIR-NEERI, Nagpur, India; Singh, D., Environmental Biotechnology and Genomics Division, CSIR-NEERI, Nagpur, India; Purohit, H., Academy of Scientific and Innovative Research (AcSIR), CSIR-Environmental Biotechnology and Genomics Division, National Environmental Engineering Research Institute (CSIR-NEERI), Nehru Marg, Nagpur, India, Environmental Biotechnology and Genomics Division, CSIR-NEERI, Nagpur, India","Purohit, H.; Academy of Scientific and Innovative Research (AcSIR), CSIR-Environmental Biotechnology and Genomics Division, CSIR-National Environmental Engineering Research Institute (CSIR-NEERI), Nehru Marg, India; email: hj_purohit@neeri.res.in",Article,Scopus
"Lombard M., Crankshaw O.","Deindustrialization and racial inequality: Social polarisation in eThekwini?",2017,"Cities","60",,,"221","233",,,10.1016/j.cities.2016.08.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987973389&partnerID=40&md5=501e9de20ceff0449182d22d052bd024","Department of Sociology, University of Cape Town, Private Bag X3, Rondebosch, Cape Town, Western Cape, South Africa","Lombard, M., Department of Sociology, University of Cape Town, Private Bag X3, Rondebosch, Cape Town, Western Cape, South Africa; Crankshaw, O., Department of Sociology, University of Cape Town, Private Bag X3, Rondebosch, Cape Town, Western Cape, South Africa","Lombard, M.; Sociology Department, University of Cape Town, Private Bag X3, Rondebosch, South Africa; email: LMBCOR001@myuct.ac.za",Article,Scopus
"Varisli D., Korkusuz C., Dogu T.","Microwave-assisted ammonia decomposition reaction over iron incorporated mesoporous carbon catalysts",2017,"Applied Catalysis B: Environmental","201",,,"370","380",,,10.1016/j.apcatb.2016.08.032,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983520174&partnerID=40&md5=927b6a8ac4fce8d50d478dee3e12c0a6","Advanced Technologies, Graduate School of Natural and Applied Sciences, Gazi University, Ankara, Turkey; Department of Chemical Engineering, Gazi University, Ankara, Turkey; Department of Chemical Engineering, Middle East Technical University, Ankara, Turkey","Varisli, D., Advanced Technologies, Graduate School of Natural and Applied Sciences, Gazi University, Ankara, Turkey; Korkusuz, C., Department of Chemical Engineering, Gazi University, Ankara, Turkey; Dogu, T., Department of Chemical Engineering, Middle East Technical University, Ankara, Turkey","Varisli, D.; Advanced Technologies, Graduate School of Natural and Applied Sciences, Gazi UniversityTurkey; email: dilekvarisli@gazi.edu.tr",Article,Scopus
"Ismail L., Ferronato C., Fine L., Jaber F., Chovelon J.-M.","Elimination of sulfaclozine from water with SO4 [rad]− radicals: Evaluation of different persulfate activation methods",2017,"Applied Catalysis B: Environmental","201",,,"573","581",,,10.1016/j.apcatb.2016.08.046,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984890206&partnerID=40&md5=c86893b79e3ad88693864465a272dcfd","Université Lyon 1, CNRS, UMR 5256, Institut de recherches sur la catalyse et l'environnement de Lyon (IRCELYON), 2 avenue Albert EinsteinVilleurbanne, France; Conseil National de la Recherche Scientifique, Commission Libanaise de l'Energie Atomique, Atomique, Laboratoire d'Analyse des Polluants Organiques, B.P. 11-8281, Riad El SolhBeyrouth, Lebanon; Laboratoire d'Analyse des Composés Organiques (509), Faculté des sciences, Université libanaise, Hadath, Lebanon","Ismail, L., Université Lyon 1, CNRS, UMR 5256, Institut de recherches sur la catalyse et l'environnement de Lyon (IRCELYON), 2 avenue Albert EinsteinVilleurbanne, France, Conseil National de la Recherche Scientifique, Commission Libanaise de l'Energie Atomique, Atomique, Laboratoire d'Analyse des Polluants Organiques, B.P. 11-8281, Riad El SolhBeyrouth, Lebanon; Ferronato, C., Université Lyon 1, CNRS, UMR 5256, Institut de recherches sur la catalyse et l'environnement de Lyon (IRCELYON), 2 avenue Albert EinsteinVilleurbanne, France; Fine, L., Université Lyon 1, CNRS, UMR 5256, Institut de recherches sur la catalyse et l'environnement de Lyon (IRCELYON), 2 avenue Albert EinsteinVilleurbanne, France; Jaber, F., Conseil National de la Recherche Scientifique, Commission Libanaise de l'Energie Atomique, Atomique, Laboratoire d'Analyse des Polluants Organiques, B.P. 11-8281, Riad El SolhBeyrouth, Lebanon, Laboratoire d'Analyse des Composés Organiques (509), Faculté des sciences, Université libanaise, Hadath, Lebanon; Chovelon, J.-M., Université Lyon 1, CNRS, UMR 5256, Institut de recherches sur la catalyse et l'environnement de Lyon (IRCELYON), 2 avenue Albert EinsteinVilleurbanne, France","Ismail, L.; Université Lyon 1, CNRS, UMR 5256, Institut de recherches sur la catalyse et l'environnement de Lyon (IRCELYON), 2 avenue Albert Einstein, France; email: liliane-isma3il@hotmail.com",Article,Scopus
"Braithwaite S., Holt-Lunstad J.","Romantic relationships and mental health",2017,"Current Opinion in Psychology","13",,,"120","125",,,10.1016/j.copsyc.2016.04.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975473158&partnerID=40&md5=3ceb0b5a63878817073cd8aa7a7d24a0","Brigham Young University, Department of Psychology, United States","Braithwaite, S., Brigham Young University, Department of Psychology, United States; Holt-Lunstad, J., Brigham Young University, Department of Psychology, United States","Braithwaite, S.; Brigham Young University, Department of PsychologyUnited States; email: srbraithwaite@byu.edu",Review,Scopus
